molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL341591,CC12CCC(O)CC1=CCC1C2CCC2(C)C(CC3CN3)CCC12,7100.0,intermediate
CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,50000.0,inactive
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,238.0,active
CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,57.0,active
CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,54.0,active
CHEMBL324070,Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1,5400.0,intermediate
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,41.0,active
CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,78.5,active
CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,51.8,active
CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,205.0,active
CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,50.0,active
CHEMBL37321,CCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,6600.0,intermediate
CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,51000.0,inactive
CHEMBL41066,CCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,3200.0,intermediate
CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,250000.0,inactive
CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,103000.0,inactive
CHEMBL1630273,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,6800.0,intermediate
CHEMBL1630261,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,50.0,active
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,170.0,active
CHEMBL168636,O=C1/C(=C/c2cccnc2)CCc2ccccc21,9200.0,intermediate
CHEMBL90585,O=C1/C(=C/c2ccncc2)CCc2ccccc21,4600.0,intermediate
CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,49.0,active
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,250000.0,inactive
CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,31000.0,inactive
CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,250000.0,inactive
CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,40000.0,inactive
CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,21000.0,inactive
CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,11000.0,inactive
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,10000.0,inactive
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,45000.0,inactive
CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,30000.0,inactive
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,370.0,active
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,8000.0,intermediate
