ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
uvarinol,-13.506,1.0,0.7033890854228398,6.0,5.781173933273672,20.0,5.800000000000001
isouvarinol,-10.991,6.0,0.7298375427572168,3.0,5.816206797130941,19.0,8.0
dichamanetin,-11.042,5.0,0.7068147042181785,5.0,5.754135649032472,26.0,9.2
isoangoletin,-9.896,24.0,0.6144623789652871,8.0,6.330190029666427,4.0,16.799999999999997
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
chamanetin,-9.472,37.0,0.7714740417081692,1.0,5.880609192450623,15.0,25.4
ergosterol,-10.269,16.0,0.3958640694586782,52.0,5.6586416960932615,42.0,28.4
11-methyoxylettowianthine,-10.005,20.0,0.5233645192974202,13.0,5.567313193653227,74.0,29.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
stigmasterol,-10.014,19.0,0.2947716960390465,95.0,5.938695816230227,12.0,32.8
stigmasterol,-10.014,19.0,0.2947716960390465,95.0,5.829503180326356,16.0,33.6
isochamanetin,-9.272,46.0,0.6705697237958667,7.0,5.752928412299499,28.0,34.599999999999994
dimethyl,-10.307,15.0,0.3961414944356121,51.0,5.483686619193249,87.0,36.60000000000001
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.736018132511824,30.0,38.199999999999996
lanneaflavonol,-9.16,53.0,0.4492452938337057,29.0,6.08168659536038,6.0,38.8
ancistrotectorine,-9.245,48.0,0.4939402722205001,19.0,5.710255433839408,35.0,39.599999999999994
stigmasterol,-10.014,19.0,0.2276247394023627,130.0,5.938695816230227,12.0,39.8
6-methoxydiphyllin,-9.268,47.0,0.4136523242215634,41.0,5.822537594923642,18.0,40.0
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.671704493204832,39.0,40.0
myricetin-3-O-alpha-rhamnopyranoside,-9.342,41.0,0.4075241146375121,46.0,5.72175770956272,33.0,40.4
stigmasterol,-10.014,19.0,0.2276247394023627,130.0,5.829503180326356,16.0,40.6
macarangin,-8.985,66.0,0.7196151429463036,4.0,6.569648114898012,1.0,40.6
dihydrolanneaflavonol,-9.099,59.0,0.4626268316205768,24.0,6.2188879295378205,5.0,41.2
chamuvaritin,-10.5,10.0,0.4114791924186238,43.0,5.257711161069562,146.0,43.800000000000004
lettowianthine,-9.735,27.0,0.4107780534286306,44.0,5.393325758115805,102.0,45.400000000000006
ancistrotanzanine,-9.222,49.0,0.3735277406238191,65.0,5.736018132511824,30.0,48.4
ancistrotanzanine,-9.222,49.0,0.3735277406238191,65.0,5.671704493204832,39.0,50.2
ancistrotanzanine,-9.222,49.0,0.3477816778211247,77.0,5.736018132511824,30.0,50.8
cleistenonal,-9.685,28.0,0.3282729575395799,85.0,5.465271785311435,89.0,51.599999999999994
ancistrotanzanine,-9.222,49.0,0.3477816778211247,77.0,5.671704493204832,39.0,52.599999999999994
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.953245159368858,8.0,54.8
dimethyl,-10.307,15.0,0.1677517357223251,142.0,5.483686619193249,87.0,54.80000000000001
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.953245159368858,8.0,55.0
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.953245159368858,8.0,55.199999999999996
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.347363436937959,124.0,57.0
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.773773227584578,22.0,57.599999999999994
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.773773227584578,22.0,57.8
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.773773227584578,22.0,57.99999999999999
ancistrocladidine,-9.591,32.0,0.3668053832379048,72.0,5.352053894755991,123.0,58.2
phyllamyricin,-9.196,50.0,0.4058287754090226,48.0,5.446414312351176,93.0,58.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.199277696837672,241.0,58.800000000000004
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.199277696837672,241.0,58.800000000000004
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.199277696837672,241.0,58.800000000000004
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.199277696837672,241.0,58.800000000000004
catechin,-8.228,92.0,0.5549554599142374,12.0,5.9117029238445085,14.0,60.39999999999999
caulindole,-10.469,12.0,0.456691150500462,25.0,5.199277696837672,241.0,60.400000000000006
caulindole,-10.469,12.0,0.456691150500462,25.0,5.199277696837672,241.0,60.400000000000006
caulindole,-10.469,12.0,0.456691150500462,25.0,5.199277696837672,241.0,60.400000000000006
caulindole,-10.469,12.0,0.456691150500462,25.0,5.199277696837672,241.0,60.400000000000006
ancistrobertsonine,-8.392,82.0,0.394269100366625,53.0,5.953245159368858,8.0,61.4
lawinal,-8.029,101.0,0.7463733088561822,2.0,6.348284279641977,3.0,61.599999999999994
dimethyl,-10.307,15.0,0.3961414944356121,51.0,5.210415339344301,212.0,61.60000000000001
N-formyl-7-hydroxyglaucine,-8.486,79.0,0.4265756749591382,37.0,5.6778064901714655,38.0,62.4
tetrahydrojusticidin,-9.152,54.0,0.3924655866645755,55.0,5.411500694197083,100.0,63.4
6-O-methylancistrocladinine,-9.52,35.0,0.39155805239603,56.0,5.242814681042226,156.0,63.400000000000006
ancistrobertsonine,-8.392,82.0,0.394269100366625,53.0,5.773773227584578,22.0,64.2
demethoxymatteucinol,-8.264,89.0,0.5901219664124261,10.0,5.587118747143381,55.0,66.4
laudanine,-8.251,91.0,0.4626965398255694,23.0,5.678303919337505,37.0,66.60000000000001
ancistrotanzanine,-9.222,49.0,0.3735277406238191,65.0,5.347363436937959,124.0,67.2
diphyllin,-9.387,39.0,0.3038156404142404,93.0,5.321480545647539,128.0,67.6
myricetin-3-O-alpha-arabinofuranoside,-8.968,68.0,0.4154303299496674,39.0,5.417360974401171,98.0,68.19999999999999
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.564722763772113,75.0,68.19999999999999
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.564722763772113,75.0,68.4
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.564722763772113,75.0,68.6
ancistrotanzanine,-9.222,49.0,0.3477816778211247,77.0,5.347363436937959,124.0,69.6
methylancistrobertsonine,-9.136,55.0,0.394269100366625,53.0,5.281998274688725,132.0,70.0
triuvaretin,-10.391,13.0,0.4391290475648262,32.0,5.104088993450103,281.0,70.4
puguenolide,-8.498,78.0,0.3698166266875208,68.0,5.637027939414042,51.0,70.6
ancistrotectoriline,-9.035,61.0,0.3071752018692059,92.0,5.502379561846525,83.0,71.6
isotriuvaretin,-10.055,18.0,0.4391290475648262,32.0,5.104088993450103,281.0,73.4
ancistrocladisine,-9.181,52.0,0.4134574759941214,42.0,5.22851587971782,175.0,74.6
6-hydroxyjusticidin,-8.474,80.0,0.4307846853364417,34.0,5.416460156577484,99.0,74.6
ancistrobertsonine,-8.392,82.0,0.394269100366625,53.0,5.564722763772113,75.0,74.8
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.281998274688725,132.0,79.6
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.281998274688725,132.0,79.8
dimethyl,-10.307,15.0,0.1677517357223251,142.0,5.210415339344301,212.0,79.80000000000001
ancistrobrevine,-9.008,63.0,0.3430553894909025,80.0,5.294057064835857,131.0,80.0
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.281998274688725,132.0,80.0
ancistrocladine,-9.452,38.0,0.4028154330210319,49.0,5.203450381227898,240.0,80.6
liriodenine,-8.926,70.0,0.3885672157263677,57.0,5.24828815859537,147.0,82.8
acuminavone,-7.627,128.0,0.6132883796508761,9.0,5.683297517438328,36.0,85.8
ancistrobertsonine,-8.392,82.0,0.394269100366625,53.0,5.281998274688725,132.0,86.2
tetramethylscutellarein,-8.097,99.0,0.5628372584048569,11.0,5.321404198830721,129.0,87.4
diuvaretin,-9.587,33.0,0.3818228292770145,60.0,5.098627896875615,283.0,88.4
lupeol,-7.925,112.0,0.4397530414912712,31.0,5.449141738013934,90.0,91.4
lupeol,-7.925,112.0,0.4278015455071989,36.0,5.449141738013934,90.0,92.4
3-geranylindole,-7.626,129.0,0.3834772186609931,59.0,5.739049454394563,29.0,94.99999999999999
aromadendrene,-7.237,147.0,0.5054901499486166,15.0,5.753492635934239,27.0,96.60000000000001
toussaintine,-8.292,88.0,0.3444799337408433,79.0,5.244781991335866,148.0,98.19999999999999
lupeol,-7.925,112.0,0.4397530414912712,31.0,5.261286073251637,140.0,101.4
toussaintine,-8.292,88.0,0.2930912618221961,96.0,5.244781991335866,148.0,101.6
toussaintine,-8.292,88.0,0.2910933697067344,97.0,5.244781991335866,148.0,101.80000000000001
lupeol,-7.925,112.0,0.4397530414912712,31.0,5.260024593391844,143.0,102.0
