ligand,affinity_kcal_per_mol,dock_rank,prob_active,cls_rank,pred_pIC50,reg_rank,consensus_score
uvarinol,-13.506,1.0,0.7033890854228398,6.0,5.781173933273672,20.0,5.800000000000001
isouvarinol,-10.991,6.0,0.7298375427572168,3.0,5.816206797130941,19.0,8.0
dichamanetin,-11.042,5.0,0.7068147042181785,5.0,5.754135649032472,26.0,9.2
isoangoletin,-9.896,24.0,0.6144623789652871,8.0,6.330190029666427,4.0,16.799999999999997
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.4973154797446975,17.0,5.650130314397865,43.0,19.2
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
caulindole,-10.469,12.0,0.456691150500462,25.0,5.650130314397865,43.0,20.799999999999997
chamanetin,-9.472,37.0,0.7714740417081692,1.0,5.880609192450623,15.0,25.4
ergosterol,-10.269,16.0,0.3958640694586782,52.0,5.6586416960932615,42.0,28.4
11-methyoxylettowianthine,-10.005,20.0,0.5233645192974202,13.0,5.567313193653227,74.0,29.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
ergosta-7-en-3beta-ol,-10.081,17.0,0.452343261877302,27.0,5.518703958159565,79.0,31.4
stigmasterol,-10.014,19.0,0.2947716960390465,95.0,5.938695816230227,12.0,32.8
stigmasterol,-10.014,19.0,0.2947716960390465,95.0,5.829503180326356,16.0,33.6
isochamanetin,-9.272,46.0,0.6705697237958667,7.0,5.752928412299499,28.0,34.599999999999994
dimethyl,-10.307,15.0,0.3961414944356121,51.0,5.483686619193249,87.0,36.60000000000001
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.736018132511824,30.0,38.199999999999996
lanneaflavonol,-9.16,53.0,0.4492452938337057,29.0,6.08168659536038,6.0,38.8
ancistrotectorine,-9.245,48.0,0.4939402722205001,19.0,5.710255433839408,35.0,39.599999999999994
stigmasterol,-10.014,19.0,0.2276247394023627,130.0,5.938695816230227,12.0,39.8
6-methoxydiphyllin,-9.268,47.0,0.4136523242215634,41.0,5.822537594923642,18.0,40.0
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.671704493204832,39.0,40.0
myricetin-3-O-alpha-rhamnopyranoside,-9.342,41.0,0.4075241146375121,46.0,5.72175770956272,33.0,40.4
stigmasterol,-10.014,19.0,0.2276247394023627,130.0,5.829503180326356,16.0,40.6
macarangin,-8.985,66.0,0.7196151429463036,4.0,6.569648114898012,1.0,40.6
dihydrolanneaflavonol,-9.099,59.0,0.4626268316205768,24.0,6.2188879295378205,5.0,41.2
chamuvaritin,-10.5,10.0,0.4114791924186238,43.0,5.257711161069562,146.0,43.800000000000004
lettowianthine,-9.735,27.0,0.4107780534286306,44.0,5.393325758115805,102.0,45.400000000000006
ancistrotanzanine,-9.222,49.0,0.3735277406238191,65.0,5.736018132511824,30.0,48.4
ancistrotanzanine,-9.222,49.0,0.3735277406238191,65.0,5.671704493204832,39.0,50.2
ancistrotanzanine,-9.222,49.0,0.3477816778211247,77.0,5.736018132511824,30.0,50.8
cleistenonal,-9.685,28.0,0.3282729575395799,85.0,5.465271785311435,89.0,51.599999999999994
ancistrotanzanine,-9.222,49.0,0.3477816778211247,77.0,5.671704493204832,39.0,52.599999999999994
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.953245159368858,8.0,54.8
dimethyl,-10.307,15.0,0.1677517357223251,142.0,5.483686619193249,87.0,54.80000000000001
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.953245159368858,8.0,55.0
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.953245159368858,8.0,55.199999999999996
ancistrotanzanine,-9.222,49.0,0.5161475267106572,14.0,5.347363436937959,124.0,57.0
ancistrobertsonine,-8.392,82.0,0.4857750849498683,20.0,5.773773227584578,22.0,57.599999999999994
ancistrobertsonine,-8.392,82.0,0.4782639890109206,21.0,5.773773227584578,22.0,57.8
ancistrobertsonine,-8.392,82.0,0.4755381709375617,22.0,5.773773227584578,22.0,57.99999999999999
ancistrocladidine,-9.591,32.0,0.3668053832379048,72.0,5.352053894755991,123.0,58.2
phyllamyricin,-9.196,50.0,0.4058287754090226,48.0,5.446414312351176,93.0,58.2
